rfr_id|test_class_id|test_item_id|minor_item|rfr_deficiency_category|rfr_desc|rfr_loc_marker|rfr_insp_manual_desc|rfr_advisory_text|test_item_set_section_id
8805|4|5742|N|Pre-EU Directive|tailpipe not capable of allowing the emission probe to be inserted|N|the emissions cannot be measured because a tailpipe accessory is fitted which prevents insertion of the analyser probe||5730
8805|5|5742|N|Pre-EU Directive|tailpipe not capable of allowing the emission probe to be inserted|N|the emissions cannot be measured because a tailpipe accessory is fitted which prevents insertion of the analyser probe||5730
8805|7|5742|N|Pre-EU Directive|tailpipe not capable of allowing the emission probe to be inserted|N|the emissions cannot be measured because a tailpipe accessory is fitted which prevents insertion of the analyser probe||5730
8806|4|5742|N|Pre-EU Directive|emits excessive smoke or vapour of any colour|N|Exhaust emits excessive smoke or vapour of any colour to an extent likely to obscure the vision of other road users.||5730
8806|5|5742|N|Pre-EU Directive|emits excessive smoke or vapour of any colour|N|Exhaust emits excessive smoke or vapour of any colour to an extent likely to obscure the vision of other road users.||5730
8806|7|5742|N|Pre-EU Directive|emits excessive smoke or vapour of any colour|N|Exhaust emits excessive smoke or vapour of any colour to an extent likely to obscure the vision of other road users.||5730
8810|4|5732|N|Pre-EU Directive|engine idle speed too high|N|the engine is idling at a speed clearly above its normal idling speed||5730
8810|5|5732|N|Pre-EU Directive|engine idle speed too high|N|the engine is idling at a speed clearly above its normal idling speed||5730
8810|7|5732|N|Pre-EU Directive|engine idle speed too high|N|the engine is idling at a speed clearly above its normal idling speed||5730
8811|4|5732|N|Pre-EU Directive|emits dense blue smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8811|5|5732|N|Pre-EU Directive|emits dense blue smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8811|7|5732|N|Pre-EU Directive|emits dense blue smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8812|4|5732|N|Pre-EU Directive|emits visible black smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8812|5|5732|N|Pre-EU Directive|emits visible black smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8812|7|5732|N|Pre-EU Directive|emits visible black smoke at idle|N|emits dense blue or clearly visible black smoke for a continuous period of 5 seconds at idle||5730
8813|4|5732|N|Pre-EU Directive|emits excessive dense blue smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits blue smoke during acceleration|5730
8813|5|5732|N|Pre-EU Directive|emits excessive dense blue smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits blue smoke during acceleration|5730
8813|7|5732|N|Pre-EU Directive|emits excessive dense blue smoke during acceleration|N|emits excessive dense blue or clearly visible black smoke during acceleration which would obscure the view of other road users|emits blue smoke during acceleration|5730
8820|4|5734|N|Pre-EU Directive|emissions carbon monoxide content excessive|N|the exhaust gas contains a carbon monoxide content exceeding the limit  for a continuous period of 5 seconds||5730
